sku,store,date,sales
1111,1004,1/27/2019,1
1111,1004,2/3/2019,13
1111,1004,2/10/2019,11
1111,1004,2/17/2019,0
1111,1004,2/24/2019,1
1111,1004,3/3/2019,2
1111,1004,3/10/2019,3
1111,1004,3/17/2019,8
1111,1004,3/24/2019,11
1111,1004,3/31/2019,11
1111,1004,4/7/2019,2
1111,1004,4/14/2019,8
1111,1004,4/21/2019,13
1111,1004,4/28/2019,20
1111,1004,5/5/2019,27
1111,1004,5/12/2019,2
1111,1004,5/19/2019,1
1111,1004,5/26/2019,1
1111,1004,6/2/2019,6
1111,1004,6/9/2019,6
1111,1004,6/16/2019,1
1111,1004,6/23/2019,14
1111,1004,6/30/2019,12
1111,1004,7/7/2019,3
1111,1004,7/14/2019,7
1111,1004,7/21/2019,21
1111,1004,7/28/2019,8
1111,1004,8/4/2019,5
1111,1004,8/11/2019,4
1111,1004,8/18/2019,13
1111,1004,8/25/2019,6
1111,1004,9/1/2019,16
1111,1004,9/8/2019,11
1111,1004,9/15/2019,3
1111,1004,9/22/2019,14
1111,1004,9/29/2019,1
1111,1004,10/6/2019,15
1111,1004,10/13/2019,2
1111,1004,10/20/2019,5
1111,1004,10/27/2019,21
1111,1004,11/3/2019,1
1111,1004,11/10/2019,15
1111,1004,11/17/2019,3
1111,1004,11/24/2019,6
1111,1004,12/1/2019,12
1111,1004,12/8/2019,1
1111,1004,12/15/2019,10
1111,1004,12/22/2019,6
1111,1004,12/29/2019,2
1111,1005,1/6/2019,3
1111,1005,1/13/2019,13
1111,1005,1/20/2019,9
1111,1005,1/27/2019,4
1111,1005,2/3/2019,4
1111,1005,2/10/2019,2
1111,1005,2/17/2019,5
1111,1005,2/24/2019,12
1111,1005,3/3/2019,1
1111,1005,3/10/2019,13
1111,1005,3/17/2019,7
1111,1005,3/24/2019,16
1111,1005,3/31/2019,5
1111,1005,4/7/2019,3
1111,1005,4/14/2019,3
1111,1005,4/21/2019,3
1111,1005,4/28/2019,2
1111,1005,5/5/2019,5
1111,1005,5/12/2019,32
1111,1005,5/19/2019,8
1111,1005,5/26/2019,20
1111,1005,6/2/2019,11
1111,1005,6/9/2019,2
1111,1005,6/16/2019,2
1111,1005,6/23/2019,32
1111,1005,6/30/2019,16
1111,1005,7/7/2019,4
1111,1005,7/14/2019,6
1111,1005,7/21/2019,1
1111,1005,7/28/2019,4
1111,1005,8/4/2019,12
1111,1005,8/11/2019,7
1111,1005,8/18/2019,5
1111,1005,8/25/2019,5
1111,1005,9/1/2019,10
1111,1005,9/8/2019,5
1111,1005,9/15/2019,5
1111,1005,9/22/2019,4
1111,1005,9/29/2019,15
1111,1005,10/6/2019,5
1111,1005,10/13/2019,5
1111,1005,10/20/2019,2
1111,1005,10/27/2019,8
1111,1005,11/3/2019,8
1111,1005,11/10/2019,7
1111,1005,11/17/2019,3
1111,1005,11/24/2019,37
1111,1005,12/1/2019,2
1111,1005,12/8/2019,12
1111,1005,12/15/2019,5
1111,1005,12/22/2019,9
1111,1005,12/29/2019,3
1111,1006,1/6/2019,7
1111,1006,1/13/2019,32
1111,1006,1/20/2019,12
1111,1006,1/27/2019,8
1111,1006,2/3/2019,3
1111,1006,2/10/2019,2
1111,1006,2/17/2019,3
1111,1006,2/24/2019,4
1111,1006,3/3/2019,15
1111,1006,3/10/2019,9
1111,1006,3/17/2019,24
1111,1006,3/24/2019,18
1111,1006,3/31/2019,11
1111,1006,4/7/2019,4
1111,1006,4/14/2019,12
1111,1006,4/21/2019,6
1111,1006,4/28/2019,5
1111,1006,5/5/2019,6
1111,1006,5/12/2019,2
1111,1006,5/19/2019,2
1111,1006,5/26/2019,10
1111,1006,6/2/2019,15
1111,1006,6/9/2019,2
1111,1006,6/16/2019,9
1111,1006,6/23/2019,35
1111,1006,6/30/2019,1
1111,1006,7/7/2019,2
1111,1006,7/14/2019,3
1111,1006,7/21/2019,5
1111,1006,7/28/2019,2
1111,1006,8/4/2019,2
1111,1006,8/11/2019,12
1111,1006,8/18/2019,7
1111,1006,8/25/2019,7
1111,1006,9/1/2019,6
1111,1006,9/8/2019,1
1111,1006,9/15/2019,7
1111,1006,9/22/2019,19
1111,1006,9/29/2019,12
1111,1006,10/6/2019,5
1111,1006,10/13/2019,7
1111,1006,10/20/2019,0
1111,1006,10/27/2019,2
1111,1006,11/3/2019,9
1111,1006,11/10/2019,9
1111,1006,11/17/2019,3
1111,1006,11/24/2019,8
1111,1006,12/1/2019,8
1111,1006,12/8/2019,2
1111,1006,12/15/2019,9
1111,1006,12/22/2019,5
1111,1006,12/29/2019,15
1111,1007,1/6/2019,11
1111,1007,1/13/2019,11
1111,1007,1/20/2019,6
1111,1007,1/27/2019,18
1111,1007,2/3/2019,6
1111,1007,2/10/2019,16
1111,1007,2/17/2019,1
1111,1007,2/24/2019,13
1111,1007,3/3/2019,11
1111,1007,3/10/2019,0
1111,1007,3/17/2019,6
1111,1007,3/24/2019,1
1111,1007,3/31/2019,32
1111,1007,4/7/2019,7
1111,1007,4/14/2019,2
1111,1007,4/21/2019,9
1111,1007,4/28/2019,19
1111,1007,5/5/2019,6
1111,1007,5/12/2019,7
1111,1007,5/19/2019,3
1111,1007,5/26/2019,7
1111,1007,6/2/2019,1
1111,1007,6/9/2019,6
1111,1007,6/16/2019,1
1111,1007,6/23/2019,1
1111,1007,6/30/2019,11
1111,1007,7/7/2019,7
1111,1007,7/14/2019,10
1111,1007,7/21/2019,1
1111,1007,7/28/2019,6
1111,1007,8/4/2019,4
1111,1007,8/11/2019,6
1111,1007,8/18/2019,35
1111,1007,8/25/2019,6
1111,1007,9/1/2019,4
1111,1007,9/8/2019,3
1111,1007,9/15/2019,9
1111,1007,9/22/2019,16
1111,1007,9/29/2019,5
1111,1007,10/6/2019,6
1111,1007,10/13/2019,8
1111,1007,10/20/2019,7
1111,1007,10/27/2019,7
1111,1007,11/3/2019,3
1111,1007,11/10/2019,2
1111,1007,11/17/2019,5
1111,1007,11/24/2019,11
1111,1007,12/1/2019,27
1111,1007,12/8/2019,15
1111,1007,12/15/2019,5
1111,1007,12/22/2019,5
1111,1007,12/29/2019,7
1111,1008,1/6/2019,2
1111,1008,1/13/2019,9
1111,1008,1/20/2019,1
1111,1008,1/27/2019,35
1111,1008,2/3/2019,7
1111,1008,2/10/2019,5
1111,1008,2/17/2019,3
1111,1008,2/24/2019,1
1111,1008,3/3/2019,12
1111,1008,3/10/2019,1
1111,1008,3/17/2019,1
1111,1008,3/24/2019,5
1111,1008,3/31/2019,6
1111,1008,4/7/2019,10
1111,1008,4/14/2019,14
1111,1008,4/21/2019,6
1111,1008,4/28/2019,12
1111,1008,5/5/2019,2
1111,1008,5/12/2019,4
1111,1008,5/19/2019,24
1111,1008,5/26/2019,7
1111,1008,6/2/2019,2
1111,1008,6/9/2019,8
1111,1008,6/16/2019,4
1111,1008,6/23/2019,12
1111,1008,6/30/2019,13
1111,1008,7/7/2019,1
1111,1008,7/14/2019,4
1111,1008,7/21/2019,4
1111,1008,7/28/2019,6
1111,1008,8/4/2019,6
1111,1008,8/11/2019,20
1111,1008,8/18/2019,10
1111,1008,8/25/2019,3
1111,1008,9/1/2019,9
1111,1008,9/8/2019,11
1111,1008,9/15/2019,2
1111,1008,9/22/2019,3
1111,1008,9/29/2019,6
1111,1008,10/6/2019,3
1111,1008,10/13/2019,2
1111,1008,10/20/2019,15
1111,1008,10/27/2019,3
1111,1008,11/3/2019,8
1111,1008,11/10/2019,3
1111,1008,11/17/2019,5
1111,1008,11/24/2019,19
1111,1008,12/1/2019,6
1111,1008,12/8/2019,12
1111,1008,12/15/2019,7
1111,1008,12/22/2019,6
1111,1008,12/29/2019,2
1111,1009,1/6/2019,8
1111,1009,1/13/2019,9
1111,1009,1/20/2019,28
1111,1009,1/27/2019,2
1111,1009,2/3/2019,7
1111,1009,2/10/2019,1
1111,1009,2/17/2019,19
1111,1009,2/24/2019,14
1111,1009,3/3/2019,3
1111,1009,3/10/2019,4
1111,1009,3/17/2019,7
1111,1009,3/24/2019,11
1111,1009,3/31/2019,1
1111,1009,4/7/2019,1
1111,1009,4/14/2019,11
1111,1009,4/21/2019,32
1111,1009,4/28/2019,11
1111,1009,5/5/2019,8
1111,1009,5/12/2019,8
1111,1009,5/19/2019,9
1111,1009,5/26/2019,8
1111,1009,6/2/2019,5
1111,1009,6/9/2019,0
1111,1009,6/16/2019,10
1111,1009,6/23/2019,5
1111,1009,6/30/2019,6
1111,1009,7/7/2019,12
1111,1009,7/14/2019,10
1111,1009,7/21/2019,10
1111,1009,7/28/2019,5
1111,1009,8/4/2019,11
1111,1009,8/11/2019,7
1111,1009,8/18/2019,2
1111,1009,8/25/2019,3
1111,1009,9/1/2019,11
1111,1009,9/8/2019,12
1111,1009,9/15/2019,3
1111,1009,9/22/2019,24
1111,1009,9/29/2019,5
1111,1009,10/6/2019,36
1111,1009,10/13/2019,14
1111,1009,10/20/2019,2
1111,1009,10/27/2019,2
1111,1009,11/3/2019,22
1111,1009,11/10/2019,9
1111,1009,11/17/2019,3
1111,1009,11/24/2019,18
1111,1009,12/1/2019,12
1111,1009,12/8/2019,6
1111,1009,12/15/2019,27
1111,1009,12/22/2019,5
1111,1009,12/29/2019,6
1111,1010,1/6/2019,6
1111,1010,1/13/2019,2
1111,1010,1/20/2019,3
1111,1010,1/27/2019,1
1111,1010,2/3/2019,10
1111,1010,2/10/2019,13
1111,1010,2/17/2019,5
1111,1010,2/24/2019,20
1111,1010,3/3/2019,1
1111,1010,3/10/2019,23
1111,1010,3/17/2019,2
1111,1010,3/24/2019,10
1111,1010,3/31/2019,40
1111,1010,4/7/2019,18
1111,1010,4/14/2019,2
1111,1010,4/21/2019,3
1111,1010,4/28/2019,0
1111,1010,5/5/2019,2
1111,1010,5/12/2019,0
1111,1010,5/19/2019,17
1111,1010,5/26/2019,2
1111,1010,6/2/2019,6
1111,1010,6/9/2019,9
1111,1010,6/16/2019,28
1111,1010,6/23/2019,8
1111,1010,6/30/2019,1
1111,1010,7/7/2019,6
1111,1010,7/14/2019,24
1111,1010,7/21/2019,5
1111,1010,7/28/2019,6
1111,1010,8/4/2019,18
1111,1010,8/11/2019,18
1111,1010,8/18/2019,3
1111,1010,8/25/2019,3
1111,1010,9/1/2019,0
1111,1010,9/8/2019,5
1111,1010,9/15/2019,7
1111,1010,9/22/2019,1
1111,1010,9/29/2019,17
1111,1010,10/6/2019,12
1111,1010,10/13/2019,3
1111,1010,10/20/2019,18
1111,1010,10/27/2019,14
1111,1010,11/3/2019,1
1111,1010,11/10/2019,13
1111,1010,11/17/2019,12
1111,1010,11/24/2019,41
1111,1010,12/1/2019,6
1111,1010,12/8/2019,17
1111,1010,12/15/2019,11
1111,1010,12/22/2019,5
1111,1010,12/29/2019,9
1111,1011,1/6/2019,11
1111,1011,1/13/2019,20
1111,1011,1/20/2019,5
1111,1011,1/27/2019,22
1111,1011,2/3/2019,8
1111,1011,2/10/2019,22
1111,1011,2/17/2019,12
1111,1011,2/24/2019,11
1111,1011,3/3/2019,18
1111,1011,3/10/2019,20
1111,1011,3/17/2019,2
1111,1011,3/24/2019,3
1111,1011,3/31/2019,3
1111,1011,4/7/2019,6
1111,1011,4/14/2019,4
1111,1011,4/21/2019,5
1111,1011,4/28/2019,29
1111,1011,5/5/2019,19
1111,1011,5/12/2019,9
1111,1011,5/19/2019,9
1111,1011,5/26/2019,19
1111,1011,6/2/2019,6
1111,1011,6/9/2019,8
1111,1011,6/16/2019,5
1111,1011,6/23/2019,1
1111,1011,6/30/2019,8
1111,1011,7/7/2019,1
1111,1011,7/14/2019,27
1111,1011,7/21/2019,5
1111,1011,7/28/2019,9
1111,1011,8/4/2019,41
1111,1011,8/11/2019,4
1111,1011,8/18/2019,3
1111,1011,8/25/2019,5
1111,1011,9/1/2019,39
1111,1011,9/8/2019,4
1111,1011,9/15/2019,1
1111,1011,9/22/2019,7
1111,1011,9/29/2019,20
1111,1011,10/6/2019,2
1111,1011,10/13/2019,11
1111,1011,10/20/2019,3
1111,1011,10/27/2019,8
1111,1011,11/3/2019,6
1111,1011,11/10/2019,5
1111,1011,11/17/2019,8
1111,1011,11/24/2019,14
1111,1011,12/1/2019,11
1111,1011,12/8/2019,3
1111,1011,12/15/2019,18
1111,1011,12/22/2019,4
1111,1011,12/29/2019,2
1111,1012,1/6/2019,7
1111,1012,1/13/2019,8
1111,1012,1/20/2019,6
1111,1012,1/27/2019,1
1111,1012,2/3/2019,12
1111,1012,2/10/2019,9
1111,1012,2/17/2019,26
1111,1012,2/24/2019,14
1111,1012,3/3/2019,5
1111,1012,3/10/2019,1
1111,1012,3/17/2019,7
1111,1012,3/24/2019,5
1111,1012,3/31/2019,9
1111,1012,4/7/2019,6
1111,1012,4/14/2019,8
1111,1012,4/21/2019,4
1111,1012,4/28/2019,3
1111,1012,5/5/2019,4
1111,1012,5/12/2019,7
1111,1012,5/19/2019,12
1111,1012,5/26/2019,1
1111,1012,6/2/2019,17
1111,1012,6/9/2019,13
1111,1012,6/16/2019,1
1111,1012,6/23/2019,4
1111,1012,6/30/2019,6
1111,1012,7/7/2019,40
1111,1012,7/14/2019,1
1111,1012,7/21/2019,5
1111,1012,7/28/2019,7
1111,1012,8/4/2019,9
1111,1012,8/11/2019,7
1111,1012,8/18/2019,15
1111,1012,8/25/2019,7
1111,1012,9/1/2019,16
1111,1012,9/8/2019,2
1111,1012,9/15/2019,4
1111,1012,9/22/2019,6
1111,1012,9/29/2019,9
1111,1012,10/6/2019,3
1111,1012,10/13/2019,12
1111,1012,10/20/2019,13
1111,1012,10/27/2019,0
1111,1012,11/3/2019,3
1111,1012,11/10/2019,5
1111,1012,11/17/2019,7
1111,1012,11/24/2019,12
1111,1012,12/1/2019,16
1111,1012,12/8/2019,3
1111,1012,12/15/2019,12
1111,1012,12/22/2019,4
1111,1012,12/29/2019,6
1111,1013,1/6/2019,22
1111,1013,1/13/2019,34
1111,1013,1/20/2019,3
1111,1013,1/27/2019,8
1111,1013,2/3/2019,13
1111,1013,2/10/2019,7
1111,1013,2/17/2019,1
1111,1013,2/24/2019,3
1111,1013,3/3/2019,24
1111,1013,3/10/2019,14
1111,1013,3/17/2019,1
1111,1013,3/24/2019,9
1111,1013,3/31/2019,7
1111,1013,4/7/2019,1
1111,1013,4/14/2019,10
1111,1013,4/21/2019,3
1111,1013,4/28/2019,3
1111,1013,5/5/2019,3
1111,1013,5/12/2019,12
1111,1013,5/19/2019,10
1111,1013,5/26/2019,11
1111,1013,6/2/2019,9
1111,1013,6/9/2019,9
1111,1013,6/16/2019,8
1111,1013,6/23/2019,12
1111,1013,6/30/2019,2
1111,1013,7/7/2019,15
1111,1013,7/14/2019,22
1111,1013,7/21/2019,9
1111,1013,7/28/2019,9
1111,1013,8/4/2019,6
1111,1013,8/11/2019,2
1111,1013,8/18/2019,14
1111,1013,8/25/2019,3
1111,1013,9/1/2019,4
1111,1013,9/8/2019,4
1111,1013,9/15/2019,1
1111,1013,9/22/2019,6
1111,1013,9/29/2019,18
1111,1013,10/6/2019,2
1111,1013,10/13/2019,8
1111,1013,10/20/2019,3
1111,1013,10/27/2019,11
1111,1013,11/3/2019,4
1111,1013,11/10/2019,2
1111,1013,11/17/2019,13
1111,1013,11/24/2019,5
1111,1013,12/1/2019,13
1111,1013,12/8/2019,11
1111,1013,12/15/2019,13
1111,1013,12/22/2019,2
1111,1013,12/29/2019,8
1111,1014,1/6/2019,4
1111,1014,1/13/2019,6
1111,1014,1/20/2019,13
1111,1014,1/27/2019,10
1111,1014,2/3/2019,27
1111,1014,2/10/2019,25
1111,1014,2/17/2019,3
1111,1014,2/24/2019,10
1111,1014,3/3/2019,17
1111,1014,3/10/2019,10
1111,1014,3/17/2019,17
1111,1014,3/24/2019,1
1111,1014,3/31/2019,2
1111,1014,4/7/2019,2
1111,1014,4/14/2019,14
1111,1014,4/21/2019,5
1111,1014,4/28/2019,25
1111,1014,5/5/2019,5
1111,1014,5/12/2019,3
1111,1014,5/19/2019,10
1111,1014,5/26/2019,9
1111,1014,6/2/2019,4
1111,1014,6/9/2019,49
1111,1014,6/16/2019,17
1111,1014,6/23/2019,1
1111,1014,6/30/2019,4
1111,1014,7/7/2019,2
1111,1014,7/14/2019,17
1111,1014,7/21/2019,22
1111,1014,7/28/2019,8
1111,1014,8/4/2019,17
1111,1014,8/11/2019,8
1111,1014,8/18/2019,19
1111,1014,8/25/2019,3
1111,1014,9/1/2019,10
1111,1014,9/8/2019,1
1111,1014,9/15/2019,3
1111,1014,9/22/2019,21
1111,1014,9/29/2019,13
1111,1014,10/6/2019,9
1111,1014,10/13/2019,9
1111,1014,10/20/2019,3
1111,1014,10/27/2019,20
1111,1014,11/3/2019,3
1111,1014,11/10/2019,25
1111,1014,11/17/2019,8
1111,1014,11/24/2019,24
1111,1014,12/1/2019,6
1111,1014,12/8/2019,1
1111,1014,12/15/2019,10
1111,1014,12/22/2019,2
1111,1014,12/29/2019,11
1111,1015,1/6/2019,38
1111,1015,1/13/2019,14
1111,1015,1/20/2019,2
1111,1015,1/27/2019,11
1111,1015,2/3/2019,5
1111,1015,2/10/2019,3
1111,1015,2/17/2019,1
1111,1015,2/24/2019,8
1111,1015,3/3/2019,3
1111,1015,3/10/2019,10
1111,1015,3/17/2019,5
1111,1015,3/24/2019,4
1111,1015,3/31/2019,13
1111,1015,4/7/2019,1
1111,1015,4/14/2019,4
1111,1015,4/21/2019,8
1111,1015,4/28/2019,1
1111,1015,5/5/2019,11
1111,1015,5/12/2019,4
1111,1015,5/19/2019,12
1111,1015,5/26/2019,7
1111,1015,6/2/2019,51
1111,1015,6/9/2019,15
1111,1015,6/16/2019,5
1111,1015,6/23/2019,2
1111,1015,6/30/2019,13
1111,1015,7/7/2019,54
1111,1015,7/14/2019,3
1111,1015,7/21/2019,1
1111,1015,7/28/2019,1
1111,1015,8/4/2019,14
1111,1015,8/11/2019,12
1111,1015,8/18/2019,9
1111,1015,8/25/2019,5
1111,1015,9/1/2019,7
1111,1015,9/8/2019,15
1111,1015,9/15/2019,22
1111,1015,9/22/2019,7
1111,1015,9/29/2019,16
1111,1015,10/6/2019,8
1111,1015,10/13/2019,20
1111,1015,10/20/2019,13
1111,1015,10/27/2019,2
1111,1015,11/3/2019,1
1111,1015,11/10/2019,3
1111,1015,11/17/2019,3
1111,1015,11/24/2019,5
1111,1015,12/1/2019,21
1111,1015,12/8/2019,13
1111,1015,12/15/2019,17
1111,1015,12/22/2019,4
1111,1015,12/29/2019,11
1111,1016,1/6/2019,6
1111,1016,1/13/2019,19
1111,1016,1/20/2019,3
1111,1016,1/27/2019,8
1111,1016,2/3/2019,5
1111,1016,2/10/2019,2
1111,1016,2/17/2019,1
1111,1016,2/24/2019,8
1111,1016,3/3/2019,6
1111,1016,3/10/2019,4
1111,1016,3/17/2019,11
1111,1016,3/24/2019,19
1111,1016,3/31/2019,19
1111,1016,4/7/2019,6
1111,1016,4/14/2019,5
1111,1016,4/21/2019,5
1111,1016,4/28/2019,9
1111,1016,5/5/2019,2
1111,1016,5/12/2019,11
1111,1016,5/19/2019,3
1111,1016,5/26/2019,11
1111,1016,6/2/2019,2
1111,1016,6/9/2019,4
1111,1016,6/16/2019,11
1111,1016,6/23/2019,2
1111,1016,6/30/2019,10
1111,1016,7/7/2019,1
1111,1016,7/14/2019,20
1111,1016,7/21/2019,13
1111,1016,7/28/2019,2
1111,1016,8/4/2019,21
1111,1016,8/11/2019,1
1111,1016,8/18/2019,4
1111,1016,8/25/2019,4
1111,1016,9/1/2019,2
1111,1016,9/8/2019,16
1111,1016,9/15/2019,4
1111,1016,9/22/2019,3
1111,1016,9/29/2019,31
1111,1016,10/6/2019,23
1111,1016,10/13/2019,9
1111,1016,10/20/2019,4
1111,1016,10/27/2019,16
1111,1016,11/3/2019,12
1111,1016,11/10/2019,6
1111,1016,11/17/2019,2
1111,1016,11/24/2019,3
1111,1016,12/1/2019,8
1111,1016,12/8/2019,11
1111,1016,12/15/2019,3
1111,1016,12/22/2019,5
1111,1016,12/29/2019,4
1111,1017,1/6/2019,6
1111,1017,1/13/2019,4
1111,1017,1/20/2019,7
1111,1017,1/27/2019,3
1111,1017,2/3/2019,2
1111,1017,2/10/2019,2
1111,1017,2/17/2019,6
1111,1017,2/24/2019,10
1111,1017,3/3/2019,28
1111,1017,3/10/2019,6
1111,1017,3/17/2019,2
1111,1017,3/24/2019,4
1111,1017,3/31/2019,15
1111,1017,4/7/2019,13
1111,1017,4/14/2019,18
1111,1017,4/21/2019,2
1111,1017,4/28/2019,4
1111,1017,5/5/2019,1
1111,1017,5/12/2019,8
1111,1017,5/19/2019,21
1111,1017,5/26/2019,23
1111,1017,6/2/2019,2
1111,1017,6/9/2019,18
1111,1017,6/16/2019,4
1111,1017,6/23/2019,3
1111,1017,6/30/2019,36
1111,1017,7/7/2019,8
1111,1017,7/14/2019,31
1111,1017,7/21/2019,5
1111,1017,7/28/2019,3
1111,1017,8/4/2019,9
1111,1017,8/11/2019,14
1111,1017,8/18/2019,8
1111,1017,8/25/2019,11
1111,1017,9/1/2019,13
1111,1017,9/8/2019,7
1111,1017,9/15/2019,5
1111,1017,9/22/2019,7
1111,1017,9/29/2019,6
1111,1017,10/6/2019,4
1111,1017,10/13/2019,5
1111,1017,10/20/2019,12
1111,1017,10/27/2019,2
1111,1017,11/3/2019,8
1111,1017,11/10/2019,14
1111,1017,11/17/2019,36
1111,1017,11/24/2019,6
1111,1017,12/1/2019,5
1111,1017,12/8/2019,8
1111,1017,12/15/2019,9
1111,1017,12/22/2019,1
1111,1017,12/29/2019,0
1111,1018,1/6/2019,39
1111,1018,1/13/2019,5
1111,1018,1/20/2019,6
1111,1018,1/27/2019,4
1111,1018,2/3/2019,24
1111,1018,2/10/2019,3
1111,1018,2/17/2019,2
1111,1018,2/24/2019,27
1111,1018,3/3/2019,8
1111,1018,3/10/2019,2
1111,1018,3/17/2019,5
1111,1018,3/24/2019,4
1111,1018,3/31/2019,9
1111,1018,4/7/2019,5
1111,1018,4/14/2019,3
1111,1018,4/21/2019,3
1111,1018,4/28/2019,6
1111,1018,5/5/2019,13
1111,1018,5/12/2019,6
1111,1018,5/19/2019,8
1111,1018,5/26/2019,15
1111,1018,6/2/2019,1
1111,1018,6/9/2019,3
1111,1018,6/16/2019,8
1111,1018,6/23/2019,7
1111,1018,6/30/2019,10
1111,1018,7/7/2019,7
1111,1018,7/14/2019,7
1111,1018,7/21/2019,16
1111,1018,7/28/2019,3
1111,1018,8/4/2019,6
1111,1018,8/11/2019,7
1111,1018,8/18/2019,8
1111,1018,8/25/2019,23
1111,1018,9/1/2019,1
1111,1018,9/8/2019,3
1111,1018,9/15/2019,1
1111,1018,9/22/2019,6
1111,1018,9/29/2019,4
1111,1018,10/6/2019,7
1111,1018,10/13/2019,6
1111,1018,10/20/2019,12
1111,1018,10/27/2019,9
1111,1018,11/3/2019,10
1111,1018,11/10/2019,3
1111,1018,11/17/2019,1
1111,1018,11/24/2019,20
1111,1018,12/1/2019,22
