sku,store,round,sales,division,salesqty
104879,1188,1,142.26,9,24
104879,1194,1,102.34,9,16
104879,1200,1,67.39,9,11
104879,1208,1,22.47,9,3
104879,1212,1,92.36,9,14
104879,1424,1,7.49,9,1
101466675,512,1,147.65,6,18
101466675,551,1,180.58,6,22
101466675,562,1,157.62,6,19
101466675,566,1,58.86,6,7
101466675,567,1,56.86,6,7
101466675,569,1,116.72,6,14
101466675,577,1,114.72,6,14
101466675,1001,1,49.95,9,5
101466675,1003,1,19.98,9,2
101466675,1004,1,59.94,9,6
101466675,1005,1,19.98,9,2
101466675,1007,1,29.97,9,3
101466675,1009,1,110.74,6,13
101466675,1010,1,9.99,9,1
101466675,1011,1,74.77,9,18
101466675,1012,1,116.72,6,14
101466675,1014,1,29.97,9,3
101466675,1016,1,59.94,9,6
101466675,1017,1,198.52,6,24
101466675,1018,1,107.74,6,13
101466675,1019,1,49.95,9,5
101466675,1020,1,29.97,9,3
101466675,1021,1,119.88,9,12
101466675,1022,1,89.91,9,9
101466675,1023,1,59.94,9,6
101466675,1027,1,69.93,9,7
101466675,1028,1,59.94,9,6
101466675,1029,1,19.98,9,2
101466675,1030,1,106.74,6,13
101466675,1032,1,59.94,9,6
101466675,1033,1,25.94,6,3
101466675,1035,1,89.91,9,9
101466675,1040,1,19.98,9,2
101466675,1043,1,100.76,6,12
101466675,1050,1,89.91,9,9
101466675,1051,1,49.95,9,5
101466675,1058,1,182.56,6,22
101466675,1064,1,9.99,9,1
101466675,1066,1,29.97,9,3
101466675,1071,1,148.64,6,18
101466675,1077,1,49.88,6,6
101466675,1079,1,19.98,9,2
101466675,1080,1,80.81,6,10
101466675,1082,1,19.98,9,2
101466675,1083,1,39.96,9,4
101466675,1090,1,19.98,9,2
101466675,1091,1,200.53,6,24
101466675,1092,1,89.91,9,9
101466675,1095,1,49.95,9,5
101466675,1099,1,19.98,9,2
101466675,1114,1,59.94,9,6
101466675,1127,1,69.93,9,7
101466675,1132,1,19.98,9,2
101466675,1142,1,49.95,9,5
101466675,1154,1,99.9,9,10
101466675,1155,1,9.99,9,1
101466675,1170,1,39.96,9,4
101466675,1174,1,19.98,9,2
101466675,1179,1,9.99,9,1
101466675,1188,1,29.97,9,3
101466675,1194,1,59.94,9,6
101466675,1200,1,29.97,9,3
101466675,1208,1,9.99,9,1
101466675,1212,1,49.95,9,5
101466675,1424,1,39.96,9,4
101466675,2800,1,84.8,6,10
101466675,2801,1,59.86,6,7
101466675,2803,1,213.48,6,26
101466675,2806,1,99.76,6,12
101466675,2809,1,142.66,6,17
101466675,2810,1,190.55,6,23
101466675,2811,1,137.66,6,17
101466675,2812,1,131.68,6,16
101466675,2813,1,65.84,6,8
101466675,2818,1,165.6,6,20
101466675,2822,1,139.67,6,17
101466675,2823,1,142.66,6,17
101466675,2826,1,148.64,6,18
101466675,2827,1,73.82,6,9
101466675,2831,1,87.78,6,11
101466675,2841,1,115.72,6,14
101466675,2842,1,150.64,6,18
